lens,page_loc,domain_loc,macros,lens_actions,inline,routes,domain_file,classification
settings,126,38,0,2,2,0,server/domains/settings.js,THIN
sim,2691,142,0,4,1,3,server/domains/sim.js,DEEP
social,386,0,0,0,0,9,,THIN
society,374,157,0,4,0,0,server/domains/society.js,THIN
space,671,97,0,6,0,0,server/domains/space.js,MODERATE
sponsorship,159,0,0,0,3,0,,THIN
sports,1043,151,0,7,0,0,server/domains/sports.js,MODERATE
srs,1291,108,0,4,0,0,server/domains/srs.js,MODERATE
staking,174,0,0,0,3,0,,THIN
studio,2706,288,0,13,0,3,server/domains/studio.js,DEEP
sub-worlds,144,0,0,0,0,0,,SCAFFOLD
suffering,420,385,0,3,0,0,server/domains/suffering.js,THIN
supplychain,254,7,0,4,0,0,server/domains/supplychain.js,THIN
sync,136,0,0,0,1,0,,THIN
system,764,0,0,0,10,3,,MODERATE
telecommunications,373,7,0,4,0,0,server/domains/telecommunications.js,THIN
temporal,858,409,0,3,5,0,server/domains/temporal.js,MODERATE
thread,827,98,0,4,0,0,server/domains/thread.js,MODERATE
tick,1167,406,0,3,0,0,server/domains/tick.js,MODERATE
timeline,1222,431,0,4,0,0,server/domains/timeline.js,MODERATE
tools,256,0,0,0,2,3,,THIN
tournaments,473,0,0,0,0,3,,THIN
trades,2530,621,0,16,0,0,server/domains/trades.js,DEEP
transfer,500,526,0,3,7,0,server/domains/transfer.js,DEEP
travel,607,281,0,6,0,0,server/domains/travel.js,MODERATE
understanding,977,0,0,0,16,0,,DEEP
urban-planning,460,121,0,6,0,0,server/domains/urbanplanning.js,THIN
ux-suite,162,0,0,0,0,0,,SCAFFOLD
veterinary,467,7,0,4,0,0,server/domains/veterinary.js,THIN
voice,1129,169,0,4,3,3,server/domains/voice.js,MODERATE
vote,1101,480,0,3,0,0,server/domains/vote.js,MODERATE
wallet,1748,280,0,4,0,0,server/domains/wallet.js,DEEP
welding,733,92,0,4,0,0,server/domains/welding.js,MODERATE
wellness,175,118,0,4,0,0,server/domains/wellness.js,THIN
whiteboard,1719,465,0,21,4,0,server/domains/whiteboard.js,DEEP
world-creator,259,0,0,0,0,0,,SCAFFOLD
world,6026,531,0,18,0,21,server/domains/world.js,DEEP
worldmodel,405,0,0,0,16,0,,DEEP
